feature,dtype,missing_count,missing_percentage,unique_count,mean,std,min,max,skewness,constant_feature
Bankrupt?,int64,0,0.0,2,0.03226279513125092,0.17671017660774022,0.0,1.0,5.2953875158726404,False
ROA(C) before interest and depreciation before interest,float64,0,0.0,3333,0.5051796332417815,0.06068563875428444,0.0,1.0,-0.3239410032376897,False
ROA(A) before interest and % after tax,float64,0,0.0,3151,0.5586249158750463,0.06562003103170726,0.0,1.0,-1.0337268374435982,False
ROA(B) before interest and depreciation after tax,float64,0,0.0,3160,0.5535887093516657,0.06159480929187566,0.0,1.0,-0.7635637191791648,False
Operating Gross Margin,float64,0,0.0,3781,0.6079480383703836,0.01693381254822146,0.0,1.0,-8.043367962976834,False
Realized Sales Gross Margin,float64,0,0.0,3788,0.6079294691769791,0.01691607005567578,0.0,1.0,-8.066572143637043,False
Operating Profit Rate,float64,0,0.0,3376,0.9987551277900442,0.013010025092984125,0.0,1.0,-70.23716436128285,False
Pre-tax net Interest Rate,float64,0,0.0,3789,0.7971897524712905,0.012868988419884597,0.0,1.0,-52.48286652280293,False
After-tax net Interest Rate,float64,0,0.0,3604,0.8090835935135348,0.013600653945149043,0.0,1.0,-52.99574381463863,False
Non-industry income and expenditure/revenue,float64,0,0.0,2551,0.303622923649734,0.011163439838128548,0.0,1.0,39.64168918755239,False
Continuous interest rate (after tax),float64,0,0.0,3617,0.7813814325261418,0.012679004028913246,0.0,1.0,-53.200120791151186,False
Operating Expense Rate,float64,0,0.0,2966,1995347312.8028853,3237683890.5223837,0.0,9990000000.0,1.2486733165601693,False
Research and development expense rate,float64,0,0.0,1536,1950427306.0568295,2598291553.9983206,0.0,9980000000.0,1.2820432317125836,False
Cash flow rate,float64,0,0.0,5557,0.4674311857796612,0.017035517308785362,0.0,1.0,3.990585538817217,False
Interest-bearing debt interest rate,float64,0,0.0,1080,16448012.905942537,108275033.532824,0.0,990000000.0,7.033376780370779,False
Tax rate (A),float64,0,0.0,2488,0.11500074794142427,0.13866749672835132,0.0,1.0,1.903875252639803,False
Net Value Per Share (B),float64,0,0.0,2278,0.19066057949747392,0.033389768351330985,0.0,1.0,4.562322576989663,False
Net Value Per Share (A),float64,0,0.0,2285,0.19063317896774643,0.033473514172429,0.0,1.0,4.518132057298601,False
Net Value Per Share (C),float64,0,0.0,2284,0.1906723702531618,0.03348013767040907,0.0,1.0,4.513740533156161,False
Persistent EPS in the Last Four Seasons,float64,0,0.0,1358,0.22881285256452782,0.03326261307597689,0.0,1.0,5.13596305293763,False
Cash Flow Per Share,float64,0,0.0,1545,0.32348191216983224,0.01761091295834377,0.0,1.0,8.018983552793829,False
Revenue Per Share (Yuan ¥),float64,0,0.0,3807,1328640.6020960682,51707089.76790663,0.0,3020000000.0,43.7690982625658,False
Operating Profit Per Share (Yuan ¥),float64,0,0.0,1236,0.10909073887546925,0.027942244774416095,0.0,1.0,8.811855619678495,False
Per Share Net profit before tax (Yuan ¥),float64,0,0.0,1522,0.18436057764203345,0.03318020898090537,0.0,1.0,6.002590150781108,False
Realized Sales Gross Profit Growth Rate,float64,0,0.0,5583,0.02240785447416587,0.012079270152911608,0.0,1.0,77.92510905908482,False
Operating Profit Growth Rate,float64,0,0.0,6249,0.8479799951688084,0.010752477405401351,0.0,1.0,-71.68895016582744,False
After-tax Net Profit Growth Rate,float64,0,0.0,6246,0.6891461185681318,0.013853022260934765,0.0,1.0,-25.58336694298504,False
Regular Net Profit Growth Rate,float64,0,0.0,6253,0.6891500117795616,0.0139102834140106,0.0,1.0,-25.262840959449818,False
Continuous Net Profit Growth Rate,float64,0,0.0,6270,0.21763901299696697,0.01006296314611611,0.0,1.0,67.09753430866733,False
Total Asset Growth Rate,float64,0,0.0,1751,5508096595.248749,2897717771.1697035,0.0,9990000000.0,-0.9187910949038905,False
Net Value Growth Rate,float64,0,0.0,4502,1566212.055241067,114159389.51834548,0.0,9330000000.0,80.29184419453097,False
Total Asset Return Growth Rate Ratio,float64,0,0.0,2903,0.2642475118758414,0.009634208862611605,0.0,1.0,62.499961053073136,False
Cash Reinvestment %,float64,0,0.0,3599,0.37967667232266245,0.020736565809616806,0.0,1.0,2.318244374516142,False
Current Ratio,float64,0,0.0,6132,403284.954244977,33302155.825480215,0.0,2750000000.0,82.57723657279894,False
Quick Ratio,float64,0,0.0,6094,8376594.819684891,244684748.44687235,0.0,9230000000.0,31.644913015411564,False
Interest Expense Ratio,float64,0,0.0,3794,0.6309910117124214,0.011238461504050156,0.0,1.0,-16.822554123130764,False
Total debt/Total net worth,float64,0,0.0,5518,4416336.714259365,168406905.28151134,0.0,9940000000.0,46.355335845692984,False
Debt ratio %,float64,0,0.0,4208,0.11317708497306007,0.05392030606308283,0.0,1.0,0.98079611678978,False
Net worth/Assets,float64,0,0.0,4208,0.8868229150269401,0.05392030606308284,0.0,1.0,-0.9807961167897898,False
Long-term fund suitability ratio (A),float64,0,0.0,6523,0.00878273381503679,0.028152926049290605,0.0,1.0,24.96787271736492,False
Borrowing dependency,float64,0,0.0,4338,0.37465429459872324,0.016286163355500444,0.0,1.0,20.838890887338852,False
Contingent liabilities/Net worth,float64,0,0.0,1855,0.0059682772664790325,0.012188361875857312,0.0,1.0,79.67062005225556,False
Operating profit/Paid-in capital,float64,0,0.0,4423,0.10897668140338518,0.02778168598564047,0.0,1.0,8.949387100606499,False
Net profit before tax/Paid-in capital,float64,0,0.0,4785,0.18271502907673604,0.030784771508309793,0.0,1.0,6.379425570765882,False
Inventory and accounts receivable/Net value,float64,0,0.0,5289,0.40245933052066923,0.013324079587932275,0.0,1.0,13.112234234219,False
Total Asset Turnover,float64,0,0.0,381,0.14160561602172958,0.1011449684929233,0.0,1.0,2.3409066223409676,False
Accounts Receivable Turnover,float64,0,0.0,1593,12789705.237553563,278259836.9840667,0.0,9740000000.0,25.84654655099649,False
Average Collection Days,float64,0,0.0,5451,9826220.861191595,256358895.70533204,0.0,9730000000.0,30.58008623206861,False
Inventory Turnover Rate (times),float64,0,0.0,2397,2149106056.607619,3247967014.047812,0.0,9990000000.0,1.1372886202283368,False
Fixed Assets Turnover Frequency,float64,0,0.0,2451,1008595981.8175156,2477557316.9201517,0.0,9990000000.0,2.349802853236018,False
Net Worth Turnover Rate (times),float64,0,0.0,741,0.038595054614951586,0.036680343560413615,0.0,1.0,8.9618483104736,False
Revenue per person,float64,0,0.0,5667,2325854.266358276,136632654.3899363,0.0,8810000000.0,59.434479930512104,False
Operating profit per person,float64,0,0.0,3023,0.40067101508133507,0.032720144194699534,0.0,1.0,7.788299483017489,False
Allocation rate per person,float64,0,0.0,6768,11255785.321742088,294506294.11677057,0.0,9570000000.0,27.47614476109999,False
Working Capital to Total Assets,float64,0,0.0,6819,0.814125170261333,0.0590544026482635,0.0,1.0,-0.19231134759016005,False
Quick Assets/Total Assets,float64,0,0.0,6819,0.4001318123650569,0.20199806668068215,0.0,1.0,0.33731467553390343,False
Current Assets/Total Assets,float64,0,0.0,6819,0.5222734467680338,0.21811182151419323,0.0,1.0,0.07589030532976256,False
Cash/Total Assets,float64,0,0.0,6819,0.12409456048965214,0.13925058358332645,0.0,1.0,2.2303602460630274,False
Quick Assets/Current Liability,float64,0,0.0,6819,3592902.1968296515,171620908.60682163,0.0,8820000000.0,47.94729978116933,False
Cash/Current Liability,float64,0,0.0,6816,37159994.147133335,510350903.16273063,0.0,9650000000.0,14.863767667730757,False
Current Liability to Assets,float64,0,0.0,6819,0.0906727945676238,0.05028985666891821,0.0,1.0,1.6082034066471063,False
Operating Funds to Liability,float64,0,0.0,6819,0.35382800412158655,0.035147184179188065,0.0,1.0,3.777297287701786,False
Inventory/Working Capital,float64,0,0.0,6593,0.27739510610233165,0.010468846972945228,0.0,1.0,45.33224964551143,False
Inventory/Current Liability,float64,0,0.0,6590,55806804.52577958,582051554.6194191,0.0,9910000000.0,11.965588148251964,False
Current Liabilities/Liability,float64,0,0.0,6627,0.7615988775853332,0.20667676768344223,0.0,1.0,-0.8350469004780781,False
Working Capital/Equity,float64,0,0.0,6819,0.7358165257322183,0.011678026475599061,0.0,1.0,-36.20365404366997,False
Current Liabilities/Equity,float64,0,0.0,6819,0.33140980061698827,0.013488027908897866,0.0,1.0,23.799164734548174,False
Long-term Liability to Current Assets,float64,0,0.0,4249,54160038.13589435,570270621.9592104,0.0,9540000000.0,12.401607114804376,False
Retained Earnings to Total Assets,float64,0,0.0,6819,0.9347327541270043,0.025564221690643103,0.0,1.0,-11.139573972107833,False
Total income/Total expense,float64,0,0.0,6819,0.002548945567386416,0.01209281469621801,0.0,1.0,82.33242377959915,False
Total expense/Assets,float64,0,0.0,6819,0.02918409925586063,0.02714877679286165,0.0,1.0,9.481727551323877,False
Current Asset Turnover Rate,float64,0,0.0,6261,1195855763.3089354,2821161238.262308,0.0,10000000000.0,2.1159556384021165,False
Quick Asset Turnover Rate,float64,0,0.0,5377,2163735272.034426,3374944402.166023,0.0,10000000000.0,1.1373534593747237,False
Working capitcal Turnover Rate,float64,0,0.0,6819,0.5940062655659162,0.008959384178922204,0.0,1.0,-28.584610631201404,False
Cash Turnover Rate,float64,0,0.0,4023,2471976967.444318,2938623226.6788445,0.0,10000000000.0,0.9541170558810121,False
Cash Flow to Sales,float64,0,0.0,6819,0.6715307810992098,0.0093413456183006,0.0,1.0,-47.86911211654488,False
Fixed Assets to Assets,float64,0,0.0,6814,1220120.5015895537,100754158.71316808,0.0,8320000000.0,82.57723657279898,False
Current Liability to Liability,float64,0,0.0,6627,0.7615988775853332,0.20667676768344223,0.0,1.0,-0.8350469004780781,False
Current Liability to Equity,float64,0,0.0,6819,0.33140980061698827,0.013488027908897866,0.0,1.0,23.799164734548174,False
Equity to Long-term Liability,float64,0,0.0,4251,0.11564465149636942,0.019529176275314197,0.0,1.0,33.78993963057107,False
Cash Flow to Total Assets,float64,0,0.0,6819,0.6497305901792364,0.04737213191450496,0.0,1.0,-0.22815767309072998,False
Cash Flow to Liability,float64,0,0.0,6819,0.4618492532922571,0.029942680345244794,0.0,1.0,1.0079627367748654,False
CFO to Assets,float64,0,0.0,6819,0.5934150861096208,0.05856055014224858,0.0,1.0,-0.4437624611401986,False
Cash Flow to Equity,float64,0,0.0,6819,0.3155823898995751,0.01296089240164725,0.0,1.0,19.943488151697377,False
Current Liability to Current Assets,float64,0,0.0,6819,0.031506365747440736,0.030844688453563848,0.0,1.0,13.188660546091514,False
Liability-Assets Flag,int64,0,0.0,2,0.001173192550227306,0.034234310865302146,0.0,1.0,29.15047171886589,False
Net Income to Total Assets,float64,0,0.0,6819,0.8077602200365486,0.040332191531426226,0.0,1.0,-3.6840967759613386,False
Total assets to GNP price,float64,0,0.0,6818,18629417.81183602,376450059.7458224,0.0,9820000000.0,21.75898297422601,False
No-credit Interval,float64,0,0.0,6819,0.623914574767534,0.012289548007412282,0.0,1.0,-11.585565139631989,False
Gross Profit to Sales,float64,0,0.0,6816,0.607946340270717,0.016933807795673647,0.0,1.0,-8.043224607444369,False
Net Income to Stockholder's Equity,float64,0,0.0,6819,0.8404020646301005,0.01452252608252491,0.0,1.0,-37.96470114027043,False
Liability to Equity,float64,0,0.0,6819,0.2803651538333931,0.014463223575594045,0.0,1.0,27.4594671425143,False
Degree of Financial Leverage (DFL),float64,0,0.0,6240,0.027541119421203627,0.01566794186642967,0.0,1.0,45.724197115582406,False
Interest Coverage Ratio (Interest expense to EBIT),float64,0,0.0,6240,0.5653579335465574,0.013214239761961918,0.0,1.0,-13.939527900794817,False
Net Income Flag,int64,0,0.0,1,1.0,0.0,1.0,1.0,0.0,True
Equity to Liability,float64,0,0.0,6819,0.047578356529497656,0.05001371618013796,0.0,1.0,7.401100836024543,False
