feature_name,datatype,unique_values,missing_count,missing_percentage,mean,std,min,max
ROA(C) before interest and depreciation before interest,float64,3333,0,0.0,0.5051796332417815,0.06068563875428444,0.0,1.0
ROA(A) before interest and % after tax,float64,3151,0,0.0,0.5586249158750463,0.06562003103170726,0.0,1.0
ROA(B) before interest and depreciation after tax,float64,3160,0,0.0,0.5535887093516657,0.06159480929187566,0.0,1.0
Operating Gross Margin,float64,3781,0,0.0,0.6079480383703836,0.01693381254822146,0.0,1.0
Realized Sales Gross Margin,float64,3788,0,0.0,0.6079294691769791,0.01691607005567578,0.0,1.0
Operating Profit Rate,float64,3376,0,0.0,0.9987551277900442,0.013010025092984125,0.0,1.0
Pre-tax net Interest Rate,float64,3789,0,0.0,0.7971897524712905,0.012868988419884597,0.0,1.0
After-tax net Interest Rate,float64,3604,0,0.0,0.8090835935135348,0.013600653945149043,0.0,1.0
Non-industry income and expenditure/revenue,float64,2551,0,0.0,0.303622923649734,0.011163439838128548,0.0,1.0
Continuous interest rate (after tax),float64,3617,0,0.0,0.7813814325261418,0.012679004028913246,0.0,1.0
Operating Expense Rate,float64,2966,0,0.0,1995347312.8028853,3237683890.5223837,0.0,9990000000.0
Research and development expense rate,float64,1536,0,0.0,1950427306.0568295,2598291553.9983206,0.0,9980000000.0
Cash flow rate,float64,5557,0,0.0,0.4674311857796612,0.017035517308785362,0.0,1.0
Interest-bearing debt interest rate,float64,1080,0,0.0,16448012.905942537,108275033.532824,0.0,990000000.0
Tax rate (A),float64,2488,0,0.0,0.11500074794142427,0.13866749672835132,0.0,1.0
Net Value Per Share (B),float64,2278,0,0.0,0.19066057949747392,0.033389768351330985,0.0,1.0
Net Value Per Share (A),float64,2285,0,0.0,0.19063317896774643,0.033473514172429,0.0,1.0
Net Value Per Share (C),float64,2284,0,0.0,0.1906723702531618,0.03348013767040907,0.0,1.0
Persistent EPS in the Last Four Seasons,float64,1358,0,0.0,0.22881285256452782,0.03326261307597689,0.0,1.0
Cash Flow Per Share,float64,1545,0,0.0,0.32348191216983224,0.01761091295834377,0.0,1.0
Revenue Per Share (Yuan ¥),float64,3807,0,0.0,1328640.6020960682,51707089.76790663,0.0,3020000000.0
Operating Profit Per Share (Yuan ¥),float64,1236,0,0.0,0.10909073887546925,0.027942244774416095,0.0,1.0
Per Share Net profit before tax (Yuan ¥),float64,1522,0,0.0,0.18436057764203345,0.03318020898090537,0.0,1.0
Realized Sales Gross Profit Growth Rate,float64,5583,0,0.0,0.02240785447416587,0.012079270152911608,0.0,1.0
Operating Profit Growth Rate,float64,6249,0,0.0,0.8479799951688084,0.010752477405401351,0.0,1.0
After-tax Net Profit Growth Rate,float64,6246,0,0.0,0.6891461185681318,0.013853022260934765,0.0,1.0
Regular Net Profit Growth Rate,float64,6253,0,0.0,0.6891500117795616,0.0139102834140106,0.0,1.0
Continuous Net Profit Growth Rate,float64,6270,0,0.0,0.21763901299696697,0.01006296314611611,0.0,1.0
Total Asset Growth Rate,float64,1751,0,0.0,5508096595.248749,2897717771.1697035,0.0,9990000000.0
Net Value Growth Rate,float64,4502,0,0.0,1566212.055241067,114159389.51834548,0.0,9330000000.0
Total Asset Return Growth Rate Ratio,float64,2903,0,0.0,0.2642475118758414,0.009634208862611605,0.0,1.0
Cash Reinvestment %,float64,3599,0,0.0,0.37967667232266245,0.020736565809616806,0.0,1.0
Current Ratio,float64,6132,0,0.0,403284.954244977,33302155.825480215,0.0,2750000000.0
Quick Ratio,float64,6094,0,0.0,8376594.819684891,244684748.44687235,0.0,9230000000.0
Interest Expense Ratio,float64,3794,0,0.0,0.6309910117124214,0.011238461504050156,0.0,1.0
Total debt/Total net worth,float64,5518,0,0.0,4416336.714259365,168406905.28151134,0.0,9940000000.0
Debt ratio %,float64,4208,0,0.0,0.11317708497306007,0.05392030606308283,0.0,1.0
Net worth/Assets,float64,4208,0,0.0,0.8868229150269401,0.05392030606308284,0.0,1.0
Long-term fund suitability ratio (A),float64,6523,0,0.0,0.00878273381503679,0.028152926049290605,0.0,1.0
Borrowing dependency,float64,4338,0,0.0,0.37465429459872324,0.016286163355500444,0.0,1.0
Contingent liabilities/Net worth,float64,1855,0,0.0,0.0059682772664790325,0.012188361875857312,0.0,1.0
Operating profit/Paid-in capital,float64,4423,0,0.0,0.10897668140338518,0.02778168598564047,0.0,1.0
Net profit before tax/Paid-in capital,float64,4785,0,0.0,0.18271502907673604,0.030784771508309793,0.0,1.0
Inventory and accounts receivable/Net value,float64,5289,0,0.0,0.40245933052066923,0.013324079587932275,0.0,1.0
Total Asset Turnover,float64,381,0,0.0,0.14160561602172958,0.1011449684929233,0.0,1.0
Accounts Receivable Turnover,float64,1593,0,0.0,12789705.237553563,278259836.9840667,0.0,9740000000.0
