feature,overall_mean,overall_median,overall_std,non_bankrupt_mean,non_bankrupt_median,bankrupt_mean,bankrupt_median,mean_difference
ROA(C) before interest and depreciation before interest,0.5044466268802824,0.502120606444694,0.060354175228013694,0.5073409663831382,0.503778091941695,0.41763288690542133,0.44132988836347653,-0.08970807947771686
ROA(A) before interest and % after tax,0.5578182293138604,0.559365460095944,0.0653548304147288,0.5612046972150677,0.560401221107719,0.456243433572533,0.490759921500218,-0.10496126364253472
ROA(B) before interest and depreciation after tax,0.5529461343360491,0.55168906258365,0.06140118252223005,0.5560314259795666,0.552920391883934,0.46040491509668124,0.4882488355907705,-0.09562651088288532
Operating Gross Margin,0.6077646620921662,0.605983078453134,0.017046987182443386,0.6080680596682816,0.606206488995229,0.5986644586585672,0.598963663356347,-0.00940360100971438
Realized Sales Gross Margin,0.6077417337934283,0.60591821732801,0.017027544242374498,0.608043442720454,0.606206488995229,0.5986921802379291,0.599039334668992,-0.009351262482524825
Operating Profit Rate,0.998780745990196,0.999021661638436,0.013556287708964698,0.9987811064319628,0.999023857035728,0.9987699347851456,0.998903341279131,-1.1171646817187408e-05
Pre-tax net Interest Rate,0.7972549261043419,0.797461673811721,0.011467449560406245,0.7972744250787343,0.797466654068462,0.7966700676621957,0.7971560797245034,-0.0006043574165385257
After-tax net Interest Rate,0.8091782218018269,0.80937428716952,0.010479537075373038,0.8091966788482512,0.809377542103218,0.8086246152786731,0.8090924099112475,-0.0005720635695780629
Non-industry income and expenditure/revenue,0.30368320343006755,0.303525251131211,0.011607216567793779,0.30371651665046695,0.303527184722502,0.3026839960977491,0.30334820667867246,-0.0010325205527178527
Continuous interest rate (after tax),0.781450763552523,0.781633693951788,0.011092914866284739,0.781469728219832,0.781638185191205,0.780881931287048,0.7813508160441665,-0.0005877969327839905
Operating Expense Rate,1976956191.0178087,0.0002752148554965,3225957909.785723,1983136204.20574,0.0002726708526306,1791590909.0911698,0.000314010899202,-191545295.11457014
Research and development expense rate,1945016626.9480128,492000000.0,2597449194.1702433,1956150899.7918925,509000000.0,1611051704.5455053,154500000.0,-345099195.24638724
Cash flow rate,0.46722921106649523,0.465076369492464,0.015524805620026656,0.4674450396493466,0.465304513390873,0.4607555798797213,0.46134554574201303,-0.006689459769625261
Interest-bearing debt interest rate,16590467.461950859,0.0003210321032103,109285559.59402859,17028035.61372447,0.0003170317031703,3465909.091423136,0.0005020502050205,-13562126.522301335
Tax rate (A),0.11502745085377244,0.0718696224314202,0.14021878207028046,0.11779351521088444,0.0797651584168438,0.032061236415169,0.0,-0.08573227879571543
Net Value Per Share (B),0.19003958244022973,0.184063039905609,0.031232560914921777,0.19102305104070696,0.184695124520669,0.16054111231568985,0.158252918123973,-0.030481938725017116
Net Value Per Share (A),0.19002762439581652,0.184063039905609,0.03128279368831337,0.19101524427486077,0.184695124520669,0.1604046395010745,0.158252918123973,-0.03061060477378627
Net Value Per Share (C),0.1900583460641831,0.184105178879946,0.0312910713185053,0.19104086770877307,0.184737263495007,0.16058827923582883,0.158252918123973,-0.030452588472944242
Persistent EPS in the Last Four Seasons,0.22832082861078898,0.224260187198639,0.031890998665582634,0.22960765282846368,0.224922000567269,0.18972341358178557,0.1966531152500705,-0.03988423924667811
Cash Flow Per Share,0.32347348362077083,0.322451722430502,0.017045325815425613,0.3236921212485356,0.322628563344415,0.3169155970470783,0.31744712456674,-0.006776524201457301
Revenue Per Share (Yuan ¥),1107241.1020495275,0.0274059621579927,50071295.45397779,1144156.129362718,0.0276630821120136,0.027127186378967303,0.0193898694738116,-1144156.1022355317
Operating Profit Per Share (Yuan ¥),0.10877877946834778,0.104144613630812,0.0278573277638334,0.10948042321283243,0.104470320006514,0.08773345374599345,0.09066851233612894,-0.021746969466838975
Per Share Net profit before tax (Yuan ¥),0.18369120993576415,0.179407998794909,0.03124646194274774,0.18486215645835613,0.17993522633125,0.1485694673632461,0.15534382767191401,-0.03629268909511002
Realized Sales Gross Profit Growth Rate,0.022245761976130898,0.0221021519334869,0.002319257391221622,0.022238322625211526,0.0221027840561163,0.02246890023467279,0.02206862572953075,0.00023057760946126535
Operating Profit Growth Rate,0.8478793368878371,0.848043263175053,0.011752243745656069,0.8479125370043864,0.848044616028628,0.8468835220283876,0.847987325620703,-0.001029014975998832
After-tax Net Profit Growth Rate,0.6890613459922064,0.689437054800702,0.014848432299975615,0.6891493475945419,0.689440459545971,0.6864217979312432,0.689161328141501,-0.0027275496632986895
Regular Net Profit Growth Rate,0.6890720247393833,0.689437083654476,0.014885501392175121,0.6891577452232246,0.689440748083705,0.6865008972723511,0.6891762166886071,-0.0026568479508735088
Continuous Net Profit Growth Rate,0.2176539023072446,0.217597897635357,0.011216976236601462,0.21766179167937147,0.217598362207021,0.21741726596941718,0.217567949354893,-0.00024452570995428524
Total Asset Growth Rate,5509706394.683978,6400000000.0,2888785215.5863605,5535675825.535348,6430000000.0,4730771022.727279,5360000000.0,-804904802.8080692
Net Value Growth Rate,247479.37740890047,0.0004612318451255,18278324.829419613,255730.2526418454,0.0004624047010861,0.00039346722791577956,0.0003957141148124,-255730.25224837818
Total Asset Return Growth Rate Ratio,0.2640956535333028,0.264045659758647,0.003750914719431625,0.26412138207962144,0.264053430309812,0.26332394332866393,0.26371152605854353,-0.000797438750957502
Cash Reinvestment %,0.37954304588473303,0.380425468499683,0.019505742198558232,0.37984085862880546,0.380583808352893,0.370610355680421,0.37603386610036904,-0.009230502948384456
Current Ratio,0.015057306976176037,0.0105740699717006,0.02323926282828005,0.01531178851539237,0.0107556606687655,0.007424306717522608,0.00608172829413945,-0.007887481797869762
Quick Ratio,8196150.331895707,0.0073631886730539,240919980.00444075,6720969.891971577,0.0075072958139059,52443181.822574586,0.00275737472972105,45722211.93060301
Interest Expense Ratio,0.6309310575218945,0.630700949302064,0.011206055391201807,0.630921403988687,0.630706086217997,0.6312206086684989,0.6302781811208065,0.00029920467981192633
Total debt/Total net worth,2294225.4891376277,0.0055417248014298,97067569.68949164,1713392.6952322298,0.0053784915054851,19715909.119970545,0.01580855196563895,18002516.424738314
Debt ratio %,0.1132498907432251,0.111406717658796,0.054247565361133315,0.11079718282694126,0.109471838437585,0.18681719239130734,0.187486773286574,0.07602000956436608
Net worth/Assets,0.886750109256775,0.888593282341204,0.054247565361133315,0.8892028171730587,0.890528161562415,0.8131828076086927,0.8125132267134261,-0.07602000956436605
Long-term fund suitability ratio (A),0.008662496929960782,0.0056511489491373,0.027939315238736936,0.008526791557430968,0.0056711155115412,0.012732887052602171,0.005163497642291,0.004206095495171203
Borrowing dependency,0.3746667130193468,0.372627677634802,0.014313466981625906,0.37415212893501976,0.372473343875746,0.3901013117759506,0.382765057047573,0.01594918284093083
Contingent liabilities/Net worth,0.0060026037303267,0.0053658477137564,0.013588277188358464,0.005808345223715599,0.0053658477137564,0.011829255187144868,0.0053658477137564,0.006020909963429268
Operating profit/Paid-in capital,0.10867213641511982,0.103978373801032,0.027694564620209194,0.10936441100260272,0.104328496751185,0.08790783216897097,0.0906574169068673,-0.02145657883363175
Net profit before tax/Paid-in capital,0.18223622593449393,0.178252017193274,0.029798293640032728,0.18335845993687952,0.178742176306463,0.1485755821924851,0.1540117638187165,-0.034782877744394425
Inventory and accounts receivable/Net value,0.4025523266392619,0.400161838528556,0.01274472545768569,0.40231705756357466,0.40007743598469,0.40960906215376536,0.403776410962685,0.007292004590190693
Total Asset Turnover,0.14140280913622016,0.119940029985008,0.09933065145692117,0.1425730589904896,0.12143928035982,0.10630196265503615,0.0839580209895053,-0.03627109633545346
Accounts Receivable Turnover,13048762.605164677,0.0009698396112525,294763000.4674966,13483803.752682306,0.0009698396112525,0.00433754448710365,0.0010073752447424499,-13483803.748344762
Average Collection Days,10389917.514368067,0.0065597287985073,264492788.5816555,10710361.818433352,0.006561436616471,778409.098682632,0.0063257577374827,-9931952.71975072
Inventory Turnover Rate (times),2146662786.4356325,0.0007325739963745,3243894795.6797075,2148105379.8079767,0.0006949326094977,2103393181.8185587,35350000.0,-44712197.98941803
Fixed Assets Turnover Frequency,1019608139.3235048,0.0005862857549204,2492271062.1053,984690926.3135751,0.0005741817909478,2066926136.3656576,0.0012251481033466,1082235210.0520825
Net Worth Turnover Rate (times),0.0386776854616954,0.0296774193548387,0.037493184898471484,0.03858856454973755,0.0295161290322581,0.041350806451612904,0.0316129032258064,0.002762241901875351
Revenue per person,1615032.1155226948,0.018462758691597,119282993.88639392,1668876.7160021432,0.0184363203736616,0.03636926118254055,0.0206865149890575,-1668876.6796328821
Operating profit per person,0.40018134272714184,0.395784808122838,0.03143313893410774,0.4007125043071069,0.395977024490627,0.3842495132917104,0.3881583410596775,-0.0164629910153965
Allocation rate per person,10769935.854402062,0.0077899875530896,280548263.01699626,10469785.959374638,0.0076841312624036,19772727.30809385,0.01396727512587775,9302941.348719211
Working Capital to Total Assets,0.8142162234388289,0.810123596346922,0.05966096331925741,0.8162603833383781,0.811898953319749,0.7529030409972389,0.754820200781134,-0.06335734234113921
