feature,importance
Continuous interest rate (after tax),0.0802633072659097
Borrowing dependency,0.05319798443520365
Persistent EPS in the Last Four Seasons,0.042582746745945095
Net Income to Total Assets,0.04198916517659728
Total debt/Total net worth,0.04115620166637747
Equity to Liability,0.03468307831730059
Retained Earnings to Total Assets,0.031961056432265475
Debt ratio %,0.030669214340757357
Liability to Equity,0.03036666804817759
Per Share Net profit before tax (Yuan ¥),0.028286839484749998
ROA(C) before interest and depreciation before interest,0.027476255636145655
Net worth/Assets,0.02651128085783917
After-tax net Interest Rate,0.025652590686814393
Net profit before tax/Paid-in capital,0.024027748456735564
Net Value Growth Rate,0.020418715060691258
ROA(B) before interest and depreciation after tax,0.019405564739250415
Total income/Total expense,0.019120224762217138
Interest Expense Ratio,0.016736713639833197
Quick Ratio,0.016094187130639176
Pre-tax net Interest Rate,0.015240074613105748
Net Income to Stockholder's Equity,0.014444771371498783
Degree of Financial Leverage (DFL),0.013926874430126935
Net Value Per Share (A),0.012931511645514171
Current Liability to Equity,0.012237282727880518
Interest Coverage Ratio (Interest expense to EBIT),0.011470187190205544
Current Liabilities/Equity,0.009915956708828156
ROA(A) before interest and % after tax,0.00964471122067258
Non-industry income and expenditure/revenue,0.009253698266126138
Interest-bearing debt interest rate,0.008981710410176
Inventory/Working Capital,0.008707157819725404
Current Liability to Current Assets,0.008084805076759871
Average Collection Days,0.007973770517348015
Allocation rate per person,0.00785148906216226
Current Liability to Assets,0.007758292977762594
Accounts Receivable Turnover,0.0077292704602528964
Net Value Per Share (B),0.007545163939281086
Net Value Per Share (C),0.006865892469086088
Total Asset Growth Rate,0.0063409918152163925
Cash Turnover Rate,0.006061745541570907
Current Ratio,0.005704743743581621
Fixed Assets Turnover Frequency,0.005605488176896096
Equity to Long-term Liability,0.005474000781154244
Revenue Per Share (Yuan ¥),0.005465123659469472
Cash/Total Assets,0.005322275400030648
Total Asset Turnover,0.00530906756327645
Operating Profit Growth Rate,0.004828087413824187
Quick Assets/Current Liability,0.004659785441275267
Operating profit/Paid-in capital,0.004606308833106292
Working Capital to Total Assets,0.0044507380929945314
Quick Asset Turnover Rate,0.004418556344726877
Current Liability to Liability,0.004206643232519704
Operating profit per person,0.004166460240662591
Total expense/Assets,0.004096203281471533
Cash Flow to Liability,0.004070556114420717
Working Capital/Equity,0.004068489791968431
Cash/Current Liability,0.0040518037077183
Operating Profit Rate,0.00401771084810806
Cash Flow to Equity,0.0040059531510925235
Total assets to GNP price,0.003986164273384434
Working capitcal Turnover Rate,0.003959276719174895
Realized Sales Gross Margin,0.003771616186740242
Continuous Net Profit Growth Rate,0.0037402652785523873
Fixed Assets to Assets,0.0037020589198843074
Inventory/Current Liability,0.003554993806111987
Operating Gross Margin,0.003548791661268644
Gross Profit to Sales,0.0035201653592333
Long-term fund suitability ratio (A),0.003391862557717108
Current Asset Turnover Rate,0.0033814748300856788
Revenue per person,0.003339886531978785
Cash Flow Per Share,0.0033019880001722885
Operating Profit Per Share (Yuan ¥),0.003280027375035216
Total Asset Return Growth Rate Ratio,0.0032621525432454694
Realized Sales Gross Profit Growth Rate,0.0032608307017242917
After-tax Net Profit Growth Rate,0.0032195846602063494
Current Liabilities/Liability,0.0031854203895317697
Current Assets/Total Assets,0.003126408886522726
Cash flow rate,0.0030888563138861446
Regular Net Profit Growth Rate,0.00306430144986008
Long-term Liability to Current Assets,0.00303331797712947
Inventory Turnover Rate (times),0.0030310901455700163
Contingent liabilities/Net worth,0.00299520199840834
Quick Assets/Total Assets,0.0029166801650695557
No-credit Interval,0.0029001950527881154
Cash Flow to Sales,0.0028408543326516266
Cash Reinvestment %,0.0028206869872932417
Operating Funds to Liability,0.0026917312118503174
Net Worth Turnover Rate (times),0.002686284248491118
Cash Flow to Total Assets,0.002551436777919438
Inventory and accounts receivable/Net value,0.0025511734235992467
CFO to Assets,0.0024624373402824654
Operating Expense Rate,0.002237674389839161
Research and development expense rate,0.002118084101824196
Tax rate (A),0.001199892032704321
Liability-Assets Flag,0.00018423640521545153
