feature,mean_abs_shap,mean_shap
Continuous interest rate (after tax),0.009322541404720074,0.00252920681354271
Borrowing dependency,0.008700492621764049,0.0004199133866389671
Persistent EPS in the Last Four Seasons,0.006863974791976495,0.0022304037990718496
Total debt/Total net worth,0.00664146765315046,0.000542454352181005
Equity to Liability,0.006309064191391916,0.0007861777450392764
Net worth/Assets,0.006074506514447368,0.0005761696413271799
Quick Ratio,0.005697083715217518,0.0007232076949939313
Liability to Equity,0.0045714446543728745,0.00033138569749665956
ROA(B) before interest and depreciation after tax,0.004307130880111162,0.0003868187006295326
Debt ratio %,0.004279288282708043,0.0003509030309267415
Retained Earnings to Total Assets,0.004100591096420227,0.0006023684187432997
Interest Expense Ratio,0.004041556799686715,0.0005694963920477456
Net Income to Total Assets,0.003813300456850926,0.0008270310046615345
Non-industry income and expenditure/revenue,0.003606444008792773,0.0006133633764927966
ROA(C) before interest and depreciation before interest,0.003603477477597122,0.0004865256061012357
After-tax net Interest Rate,0.0035026066219028622,0.0011150281450058059
Net Income to Stockholder's Equity,0.0030818440150490777,0.0011028172600612044
Interest-bearing debt interest rate,0.0029206180004103925,-0.00017208636092351238
Allocation rate per person,0.0028576024824674734,0.0011272382877072918
Net Value Growth Rate,0.0027855344215967663,0.000971634501918777
Degree of Financial Leverage (DFL),0.002470081422275279,0.0005198097881703236
Total income/Total expense,0.002338122971671554,0.0005860844704623218
Per Share Net profit before tax (Yuan ¥),0.0021644424087570997,0.00024270363617444
Net profit before tax/Paid-in capital,0.0020378539894020196,0.0004831104363923887
Continuous Net Profit Growth Rate,0.0019400826434054072,0.0005145607319667132
ROA(A) before interest and % after tax,0.0018597105234488876,0.00045920069828301257
Net Value Per Share (A),0.0018443181627768354,0.0003690704916144451
Net Value Per Share (B),0.0018185710652973697,9.237471377641123e-05
Current Liability to Equity,0.001815695486574401,0.00030236268374141605
Average Collection Days,0.0018142875805960664,-0.0002491617483500364
Current Liabilities/Equity,0.001711709615722249,0.00027769794430776076
Pre-tax net Interest Rate,0.0015696374478374022,0.0006316197208147911
Accounts Receivable Turnover,0.0015665818320772474,-7.275389084430803e-05
Equity to Long-term Liability,0.001526957019834572,-0.00029811399143696933
Realized Sales Gross Margin,0.0014926465392114548,0.00014702102293830978
Working Capital to Total Assets,0.0014465121459716957,0.0003469312934346419
Net Value Per Share (C),0.0014294354958006694,0.0001750719925047747
Total Asset Growth Rate,0.0014293403656955655,-3.882207272915821e-05
Interest Coverage Ratio (Interest expense to EBIT),0.0013840953045101622,0.00026405297180873486
Current Liability to Assets,0.0013003027236040854,0.00014976412825524782
Current Liability to Current Assets,0.0012994580519127674,0.00020918983719337792
Quick Assets/Current Liability,0.0012473435468460994,0.0002855759569966894
Total Asset Turnover,0.0012274736347261577,0.00015487533694211493
Operating profit per person,0.0012146954817825533,-0.00022082907021745115
Operating Gross Margin,0.0012143002133945622,4.111865223916306e-05
Current Ratio,0.0011899307048790651,0.00022963344755187325
Revenue Per Share (Yuan ¥),0.0011760901121949188,-5.261384082939467e-06
Cash Flow to Liability,0.0011613671375286687,-4.602119869343822e-05
Regular Net Profit Growth Rate,0.0011466252014630668,0.00038480656732735666
Cash/Total Assets,0.0010612003218590988,6.093762550157181e-05
Long-term fund suitability ratio (A),0.001054793634504458,0.0003255192324671016
After-tax Net Profit Growth Rate,0.0010189195884224545,0.0003747552643322705
Cash Flow to Equity,0.0010177485396840838,-0.00035905322798833483
Cash Turnover Rate,0.0009716059419096949,0.0003114677951922887
Fixed Assets Turnover Frequency,0.0009544286827170256,6.742697054644394e-05
Operating Profit Rate,0.0009085871206025101,0.0002815617166959099
Operating Profit Growth Rate,0.000894722393788933,0.000142815552641278
Cash Flow to Total Assets,0.000836440974316173,-0.00017932258258057904
Inventory/Working Capital,0.0008160098068684303,0.0003963507332486296
Gross Profit to Sales,0.0007981112681926045,7.472256391268388e-05
Current Asset Turnover Rate,0.0007661342312279997,9.101554831185018e-05
Working Capital/Equity,0.0007559155415808105,0.00012395387058992927
Working capitcal Turnover Rate,0.0007487468199098408,-5.2935133889363315e-05
Cash flow rate,0.0007425174104122849,8.685401820612821e-05
Current Liability to Liability,0.0007377764636774488,-0.00012682571103985103
Total assets to GNP price,0.0007319320649932483,0.00014423839373437208
Cash Flow to Sales,0.0006992441794971739,0.00016674948076993704
Fixed Assets to Assets,0.0006915354765361714,0.00017479618123202267
Long-term Liability to Current Assets,0.0006906942169327635,7.726583267754096e-07
Current Liabilities/Liability,0.0006849257021308404,0.00012879906197329092
Realized Sales Gross Profit Growth Rate,0.0006820429379003945,0.0001203949262189212
Operating Funds to Liability,0.000678762821992058,0.0001389222618783322
Quick Asset Turnover Rate,0.0006672834562702747,0.0002116164024469981
Quick Assets/Total Assets,0.0006332000677245049,2.9811631703995546e-05
Total expense/Assets,0.0006304243151275221,0.0002363322319837891
Operating profit/Paid-in capital,0.0005907516297610754,4.410487667535107e-05
Revenue per person,0.000553218792439381,5.0299913813964285e-05
No-credit Interval,0.000547314650955633,-3.992588495670477e-05
Cash/Current Liability,0.0005449657463615838,5.219195845489823e-05
CFO to Assets,0.0004965375986384458,7.038848175574802e-05
Total Asset Return Growth Rate Ratio,0.0004789903785248667,-6.817665516172724e-05
Operating Profit Per Share (Yuan ¥),0.0004738626477705622,-0.00021622774081776582
Cash Flow Per Share,0.0004637790058428379,2.077375346456731e-05
Current Assets/Total Assets,0.0004566217147728254,1.4649022548098842e-05
Net Worth Turnover Rate (times),0.00044540911428303775,3.2005701815077715e-05
Inventory Turnover Rate (times),0.0004401247596299985,4.050796926560448e-06
Cash Reinvestment %,0.00042883557734216433,-1.707883827087361e-05
Contingent liabilities/Net worth,0.0004073330183222595,2.93194983957505e-06
Inventory/Current Liability,0.00039951506254035416,0.00015555144886175197
Research and development expense rate,0.0003956620868494784,0.00012006124660958333
Operating Expense Rate,0.0003703895030506034,-2.425586580901609e-05
Inventory and accounts receivable/Net value,0.00036014129404558434,0.00010253705180817575
Tax rate (A),0.0003137651465414933,6.256660033430992e-05
Liability-Assets Flag,0.0,0.0
