feature,importance
Per Share Net profit before tax (Yuan ¥),0.07844433
Continuous interest rate (after tax),0.07259834
Persistent EPS in the Last Four Seasons,0.06514284
Borrowing dependency,0.053183407
Total income/Total expense,0.04223063
Retained Earnings to Total Assets,0.03131586
Total debt/Total net worth,0.030063374
Debt ratio %,0.021923197
Net Value Per Share (C),0.020385567
ROA(C) before interest and depreciation before interest,0.019353222
Interest Expense Ratio,0.01798506
ROA(B) before interest and depreciation after tax,0.014783811
Inventory/Working Capital,0.013325116
Non-industry income and expenditure/revenue,0.013178502
Interest Coverage Ratio (Interest expense to EBIT),0.013024023
Net Value Per Share (A),0.012868638
Degree of Financial Leverage (DFL),0.0128320055
Net worth/Assets,0.01258863
Contingent liabilities/Net worth,0.012501631
ROA(A) before interest and % after tax,0.011379412
Quick Ratio,0.011347952
Net Value Per Share (B),0.011061003
Accounts Receivable Turnover,0.010035126
Allocation rate per person,0.009688089
Net Income to Total Assets,0.0095321
After-tax net Interest Rate,0.0092853
Interest-bearing debt interest rate,0.00915157
Continuous Net Profit Growth Rate,0.008834945
Current Ratio,0.008764697
Net Value Growth Rate,0.008545506
Current Liabilities/Equity,0.00834062
Revenue Per Share (Yuan ¥),0.008131631
Tax rate (A),0.008093805
Operating profit per person,0.007991347
Cash Turnover Rate,0.0076980125
Working Capital/Equity,0.0075336937
Equity to Long-term Liability,0.007492913
Operating profit/Paid-in capital,0.0074262703
Operating Funds to Liability,0.0072176433
CFO to Assets,0.0072153714
Current Liability to Assets,0.0071833227
Working Capital to Total Assets,0.007082135
Realized Sales Gross Margin,0.007007845
Net Income to Stockholder's Equity,0.0069149416
Current Liability to Equity,0.0068910904
Working capitcal Turnover Rate,0.006416873
Operating Profit Rate,0.0062697665
Inventory and accounts receivable/Net value,0.0062252926
No-credit Interval,0.0061625396
Cash Flow to Total Assets,0.0061252913
Quick Asset Turnover Rate,0.0059784637
Total Asset Growth Rate,0.005887248
Cash/Current Liability,0.005834284
Cash flow rate,0.0057546184
Gross Profit to Sales,0.0057413597
Net Worth Turnover Rate (times),0.0056740083
Cash Flow Per Share,0.0054422165
Regular Net Profit Growth Rate,0.0053618182
Pre-tax net Interest Rate,0.0053129625
Inventory/Current Liability,0.005126976
Cash Flow to Sales,0.0050013294
Operating Profit Growth Rate,0.0049969945
Long-term Liability to Current Assets,0.004946837
Cash Flow to Liability,0.004913545
Current Asset Turnover Rate,0.004813785
Average Collection Days,0.0047992133
Revenue per person,0.0047712573
Current Liability to Liability,0.0047114533
Operating Gross Margin,0.0046858154
Realized Sales Gross Profit Growth Rate,0.0046847714
Cash Flow to Equity,0.004643666
Quick Assets/Total Assets,0.004562612
Current Liabilities/Liability,0.004522374
Inventory Turnover Rate (times),0.0045104357
Net profit before tax/Paid-in capital,0.0045077233
Total Asset Return Growth Rate Ratio,0.0044744494
Fixed Assets Turnover Frequency,0.004424601
Total Asset Turnover,0.0043548965
Total assets to GNP price,0.004345653
After-tax Net Profit Growth Rate,0.0043363688
Cash/Total Assets,0.0041272286
Liability to Equity,0.0040341537
Research and development expense rate,0.0039073043
Total expense/Assets,0.0038697883
Current Assets/Total Assets,0.0038446966
Operating Expense Rate,0.0038436586
Quick Assets/Current Liability,0.0037923588
Long-term fund suitability ratio (A),0.0037850833
Cash Reinvestment %,0.0037602286
Fixed Assets to Assets,0.003597301
Operating Profit Per Share (Yuan ¥),0.0035421827
Current Liability to Current Assets,0.0
Liability-Assets Flag,0.0
Equity to Liability,0.0
